published_at,topic,source,title,url
2026-07-21T12:56:18+00:00,politics,BBC Politics,Whitehall officials offered move to No 10 North in Manchester,https://www.bbc.co.uk/news/articles/c9d8p0l29pxo?at_medium=RSS&at_campaign=rss
2026-07-21T12:55:55+00:00,politics,The Hill,Pentagon identifies US service member killed in Iranian attack on Iraq base,https://thehill.com/policy/defense/5979954-pentagon-identifies-us-soldier-killed-iraq-iran-war/
2026-07-21T12:50:12+00:00,politics,BBC Politics,Burnham VAT cut 'already fallen apart' - Badenoch,https://www.bbc.co.uk/news/videos/cj9d0w9gvmzo?at_medium=RSS&at_campaign=rss
2026-07-21T12:47:43+00:00,politics,BBC Politics,Burnham thanks ministers for joining cabinet,https://www.bbc.co.uk/news/videos/c07rgvedx7ko?at_medium=RSS&at_campaign=rss
2026-07-21T12:39:42+00:00,politics,BBC Politics,Applause as Burnham arrives for first cabinet meeting as PM,https://www.bbc.co.uk/news/videos/cq6d28p7jgzo?at_medium=RSS&at_campaign=rss
2026-07-21T12:36:29+00:00,politics,BBC Politics,UK borrows less than expected in June but public finances remain a challenge,https://www.bbc.co.uk/news/articles/cx2vd3qgjy9o?at_medium=RSS&at_campaign=rss
2026-07-21T12:35:04+00:00,politics,BBC Politics,"Former Labour leader's ""delight"" as son becomes new Welsh secretary",https://www.bbc.co.uk/news/articles/c5y3m14km87o?at_medium=RSS&at_campaign=rss
2026-07-21T12:34:51+00:00,politics,BBC Politics,Sir Chris Bryant appointed new NI secretary,https://www.bbc.co.uk/news/articles/c20e5x4dy9lo?at_medium=RSS&at_campaign=rss
2026-07-21T12:09:38+00:00,politics,BBC Politics,Angela Rayner: Labour's working-class warrior bounces back,https://www.bbc.co.uk/news/articles/cqlz3p0ryylo?at_medium=RSS&at_campaign=rss
2026-07-21T11:31:25+00:00,politics,The Guardian (Politics),What the EU wants from Andy Burnham,https://www.theguardian.com/politics/2026/jul/21/eu-dilemmas-facing-burnham-food-exports-youth-mobility-starmer-europe
2026-07-21T11:00:28+00:00,politics,The Guardian (Politics),Andy Burnham’s first Labour cabinet: who’s in and who’s out?,https://www.theguardian.com/politics/2026/jul/20/andy-burnham-labour-cabinet-profiles
2026-07-21T10:41:41+00:00,politics,NPR Politics,Defense Secretary Pete Hegseth goes to the Hill with $350B funding request,https://www.npr.org/2026/07/21/nx-s1-5900838/defense-secretary-pete-hegseth-goes-to-the-hill-with-350b-funding-request
2026-07-21T10:41:37+00:00,politics,NPR Politics,Sen. Chris Murphy on the Iran war and Pete Hegseth's upcoming Senate testimony,https://www.npr.org/2026/07/21/nx-s1-5900980/sen-chris-murphy-on-the-iran-war-and-pete-hegseths-upcoming-senate-testimony
2026-07-21T10:31:34+00:00,politics,NPR Politics,Trump imposes 50% tariffs on Canadian goods,https://www.npr.org/2026/07/21/nx-s1-5901905/trump-imposes-tariffs-canadian-goods
2026-07-21T10:07:38+00:00,politics,BBC Politics,VAT to be cut from household electricity bills in October,https://www.bbc.co.uk/news/articles/cjwxll8jyz8o?at_medium=RSS&at_campaign=rss
2026-07-21T09:49:45+00:00,politics,The Guardian (Politics),UK borrows less than expected as Healey vows to ‘buffer against uncertainty’,https://www.theguardian.com/business/2026/jul/21/uk-borrowing-june-andy-burnham-ons-vat-electricity-bills
2026-07-21T09:48:56+00:00,politics,The Guardian (Politics),‘A big job ahead of him’: world leaders congratulate Andy Burnham as he becomes Britain’s PM,https://www.theguardian.com/politics/2026/jul/21/world-leaders-congratulate-andy-burnham-becomes-britain-pm
2026-07-21T09:32:22+00:00,politics,The Guardian (Politics),Defence shares rise after Andy Burnham appoints John Healey as chancellor,https://www.theguardian.com/business/2026/jul/21/defence-shares-rise-andy-burnham-john-healey-babcock-bae-systems
2026-07-21T09:15:55+00:00,politics,BBC Politics,AI minister role boosted but tech department axed in Burnham shake-up,https://www.bbc.co.uk/news/articles/cz97x8k4zqzo?at_medium=RSS&at_campaign=rss
2026-07-21T09:04:20+00:00,politics,The Guardian (Politics),Andy Burnham promised urgent action on the cost of living – the heat is now on chancellor John Healey to deliver it | Alfie Stirling,https://www.theguardian.com/commentisfree/2026/jul/21/andy-burnham-john-healey-chancellor-cost-of-living-treasury
2026-07-21T09:00:36+00:00,politics,BBC Politics,Starmer ally takes swipe at Burnham's first big policy,https://www.bbc.co.uk/news/articles/c62xzn3j1p2o?at_medium=RSS&at_campaign=rss
2026-07-21T09:00:36+00:00,politics,BBC Politics,Starmer ally takes swipe at Burnham's first big policy,https://www.bbc.co.uk/news/articles/c62xzn3j1p2o?at_medium=RSS&at_campaign=rss
2026-07-21T09:00:00+00:00,politics,NPR Politics,Arizona primaries set the stage for contested fall races in a swing state,https://www.npr.org/2026/07/21/nx-s1-5901065/midterms-primaries-arizona-elections
2026-07-21T08:45:00+00:00,politics,Politico,"There’s a power struggle brewing in South Carolina, and Trump might not win",https://www.politico.com/news/2026/07/21/south-carolina-trump-graham-test-01005834
2026-07-21T08:44:35+00:00,politics,NPR Politics,New Air Force One going out of commission to get safety upgrades,https://www.npr.org/2026/07/21/nx-s1-5901113/new-air-force-one-going-out-of-commission-to-get-safety-upgrades
2026-07-21T08:16:14+00:00,politics,The Guardian (Politics),UK employers cut job vacancies as Burnham aims to lift living standards,https://www.theguardian.com/business/2026/jul/21/uk-employers-job-vacancies-andy-burnham-unemployment
2026-07-21T07:57:43+00:00,politics,BBC Politics,Who's in Andy Burnham's cabinet?,https://www.bbc.co.uk/news/articles/ckg4we9g58do?at_medium=RSS&at_campaign=rss
2026-07-21T07:49:32+00:00,politics,The Guardian (Politics),Andy Burnham to cut VAT on electricity bills as first cost of living move,https://www.theguardian.com/politics/2026/jul/21/burnham-announces-plans-to-cut-vat-on-electricity-bills-as-first-cost-of-living-move
2026-07-21T07:21:06+00:00,politics,BBC Politics,Chris Mason: New chancellor faces tough spending choices,https://www.bbc.co.uk/news/articles/c24mnnnd18do?at_medium=RSS&at_campaign=rss
2026-07-21T07:00:03+00:00,politics,The Guardian (Politics),Miliband has been relentlessly attacked for net zero; what will happen now?,https://www.theguardian.com/politics/2026/jul/21/labour-briefed-against-ed-miliband-success-popularity
2026-07-21T04:00:10+00:00,politics,The Guardian (Politics),Andy Burnham’s plans could bring the UK closer to Europe than he realises,https://www.theguardian.com/commentisfree/2026/jul/21/andy-burnhams-plans-could-bring-the-uk-closer-to-europe-than-he-realises
2026-07-21T02:00:06+00:00,politics,The Guardian (Politics),Andy Burnham as new UK PM faces the defining test for the centre-left. Australia will be watching closely | Tim Soutphommasane,https://www.theguardian.com/commentisfree/2026/jul/21/andy-burnham-new-uk-pm-australia-view
2026-07-20T22:05:06+00:00,politics,The Guardian (Politics),"Briefing wars: how Labour ministers tried, and failed, to get into Burnham’s cabinet",https://www.theguardian.com/politics/2026/jul/20/briefing-wars-labour-ministers-tried-failed-burnham-cabinet-miliband-mahmood
2026-07-20T22:00:57+00:00,politics,BBC Politics,Burnham pledges to 'bring back hope' as he makes Healey chancellor,https://www.bbc.co.uk/news/articles/cvg9w2e29eno?at_medium=RSS&at_campaign=rss
2026-07-20T21:47:14+00:00,politics,BBC Politics,Burnham has big ideas - but what will they cost?,https://www.bbc.co.uk/news/articles/c9357rlk494o?at_medium=RSS&at_campaign=rss
2026-07-20T20:32:17+00:00,politics,Politico,Nancy Mace won’t run for Lindsey Graham’s Senate seat,https://www.politico.com/news/2026/07/20/nancy-mace-not-run-for-senate-01005210
2026-07-20T20:15:48+00:00,politics,BBC Politics,Louise Haigh: Labour power broker behind Burnham's rise,https://www.bbc.co.uk/news/articles/c87n0x974vjo?at_medium=RSS&at_campaign=rss
2026-07-20T20:07:01+00:00,politics,BBC Politics,Key takeaways as Andy Burnham becomes PM,https://www.bbc.co.uk/news/articles/c80nln7zgp7o?at_medium=RSS&at_campaign=rss
2026-07-20T19:28:18+00:00,politics,BBC Politics,"Foreign secretary job is honour of my life, says Ed Miliband",https://www.bbc.co.uk/news/articles/ckgdvdyzpvlo?at_medium=RSS&at_campaign=rss
2026-07-20T18:44:55+00:00,politics,BBC Politics,Who is new chancellor John Healey? Labour veteran who quit as defence secretary,https://www.bbc.co.uk/news/articles/ce85y9lm81no?at_medium=RSS&at_campaign=rss
2026-07-20T18:35:06+00:00,politics,The Guardian (Politics),"The Guardian view on Andy Burnham’s first day: the right vision, but time is of the essence | Editorial",https://www.theguardian.com/commentisfree/2026/jul/20/the-guardian-view-on-andy-burnhams-first-day-the-right-vision-but-time-is-of-the-essence
2026-07-20T17:59:45+00:00,politics,The Guardian (Politics),Ben Jennings on Andy Burnham becoming prime minister – cartoon,https://www.theguardian.com/commentisfree/picture/2026/jul/20/ben-jennings-andy-burnham-becoming-prime-minister-cartoon
2026-07-20T17:28:46+00:00,politics,The Guardian (Politics),"With PM Burnham, we’ll get warmth, audacity and knowhow. For everything else, cling to hope | Polly Toynbee",https://www.theguardian.com/commentisfree/2026/jul/20/prime-minister-andy-burnham-warmth-audacity-new-broom-cabinet
2026-07-20T15:41:02+00:00,politics,BBC Politics,Analysis: Burnham's policy choices reveal what kind of PM he wants to be,https://www.bbc.co.uk/news/articles/c3r0x5nzg0eo?at_medium=RSS&at_campaign=rss
2026-07-20T15:40:51+00:00,politics,BBC Politics,What we know about Andy Burnham's policies,https://www.bbc.co.uk/news/articles/clywzj2vk3zo?at_medium=RSS&at_campaign=rss
2026-07-20T15:34:13+00:00,politics,The Guardian (Politics),No tears from Keir as Burnham strolls into No 10 with the clock already ticking | John Crace,https://www.theguardian.com/politics/2026/jul/20/keir-starmer-andy-burnham-no-10-prime-minister-rapid-turnover
2026-07-20T14:35:51+00:00,politics,BBC Politics,Burnham pledges to end rough sleeping in first speech as prime minister,https://www.bbc.co.uk/news/articles/c0jl839j6z3o?at_medium=RSS&at_campaign=rss
2026-07-20T12:43:13+00:00,politics,BBC Politics,"Who is Andy Burnham's wife, Marie-France van Heel?",https://www.bbc.co.uk/news/articles/c75y4q61eevo?at_medium=RSS&at_campaign=rss
2026-07-20T09:35:56+00:00,politics,BBC Politics,He'll be the first Andy in No 10 - but his rise to power has been decades in the making,https://www.bbc.co.uk/news/articles/cp8pml5z8p6o?at_medium=RSS&at_campaign=rss
2026-07-20T09:12:10+00:00,politics,BBC Politics,Prisons minister Lord Timpson quits government,https://www.bbc.co.uk/news/articles/cvg0xlrvv4mo?at_medium=RSS&at_campaign=rss
2026-07-20T09:03:48+00:00,politics,BBC Politics,"Jobs, borrowing and taxes: Andy Burnham's economic challenges",https://www.bbc.co.uk/news/articles/crkvj0ngzexo?at_medium=RSS&at_campaign=rss
2026-07-20T08:42:17+00:00,politics,NPR Politics,"With just a week left until August recess, Congress faces long to-do list",https://www.npr.org/2026/07/20/nx-s1-5897469/with-just-a-week-left-until-august-recess-congress-faces-long-to-do-list
2026-07-20T08:42:12+00:00,politics,NPR Politics,Republican strategist on the hurdles the GOP faces to pass reconciliation bill,https://www.npr.org/2026/07/20/nx-s1-5899842/republican-strategist-on-the-hurdles-the-gop-faces-to-pass-reconciliation-bill
2026-07-20T08:41:56+00:00,politics,NPR Politics,Maine Democrats close in on pick to replace Senate candidate Graham Platner,https://www.npr.org/2026/07/20/nx-s1-5897456/maine-democrats-close-in-on-pick-to-replace-senate-candidate-graham-platner
2026-07-20T05:00:48+00:00,politics,The Guardian (Politics),Why has Britain’s oldest political magazine become such a rabid cheerleader for Islamophobia? | Nesrine Malik,https://www.theguardian.com/commentisfree/2026/jul/20/islamophobia-spectator-britain-oldest-political-magazine
2026-07-20T04:00:24+00:00,politics,Politico,That's a wrap,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/thats-a-wrap-01004722
2026-07-20T03:32:17+00:00,politics,Politico,Will the 2034 cup be in 2035?,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/saudi-2034-schedule-2035-01004717
2026-07-20T02:58:00+00:00,politics,Politico,Moroccan and Saudi World Cups draw human rights concerns,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/morocco-saudi-2030-human-rights-lgbt-01004663
2026-07-20T01:40:00+00:00,politics,Politico,The World Cup's missing country,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/china-qualification-soccer-future-01004659
2026-07-20T01:29:57+00:00,politics,Politico,"Will New York, New Jersey do sports together ever again?",https://www.politico.com/live-updates/2026/07/19/world-cup-2026/new-york-new-jersey-sports-partnership-future-01004665
2026-07-20T01:07:00+00:00,politics,Politico,LA’s next mega-event test: The coming climate Olympics,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/los-angeles-olympics-legacy-climate-transit-01004649
2026-07-20T01:00:16+00:00,politics,Politico,NJ Transit achieves its World Cup goooal!,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/nj-transit-achieves-its-goooal-01004652
2026-07-20T00:00:00+00:00,politics,Politico,Chicago passed on the World Cup but has other sports plans,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/chicago-future-sports-plans-soccer-01004637
2026-07-19T23:53:59+00:00,politics,BBC Politics,Chris Mason: Burnham is fifth PM in four years - now he'll try to buck the trend,https://www.bbc.co.uk/news/articles/cr7knml2y99o?at_medium=RSS&at_campaign=rss
2026-07-19T23:45:00+00:00,politics,Politico,Did World Cup permanently change ticket-price politics?,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/ghost-ticket-resale-laws-01004626
2026-07-19T23:32:52+00:00,politics,Politico,"New York, New Jersey to examine whether World Cup funds were money well spent",https://www.politico.com/live-updates/2026/07/19/world-cup-2026/new-york-new-jersey-costs-hosting-world-cup-01004624
2026-07-19T21:34:59+00:00,politics,Politico,It's Giuliani (extra) time,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/its-giuliani-extra-time-01004600
2026-07-19T21:30:00+00:00,politics,Politico,Spot the pol!,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/spot-the-pol-diplomat-consular-cases-01004356
2026-07-19T20:52:42+00:00,politics,Politico,All the president's guests,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/trump-box-sheinbaum-carney-felipe-guests-01004589
2026-07-19T20:29:59+00:00,politics,Politico,A very Infantino-coded show,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/halftime-show-infantino-shakira-bieber-madonna-bts-01004582
2026-07-19T20:00:00+00:00,politics,Politico,The World Cup final came to town. The town grew 8 times larger.,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/who-rules-east-rutherford-mayor-jeffrey-lahullier-01004348
2026-07-19T20:00:00+00:00,politics,Politico,FIFA's soccer-agent rules survive EU court ruling … for now,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/fifa-soccer-agent-rules-survive-european-court-justice-ruling-01004328
2026-07-19T19:51:39+00:00,politics,Politico,The awkward encounters ahead of Trump,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/trump-sheinbaum-carney-encounters-final-01004577
2026-07-19T19:30:00+00:00,politics,Politico,Europeans say ugh to half-time show,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/world-cup-final-half-time-show-polling-01004327
2026-07-19T19:00:00+00:00,politics,Politico,Spot the pol!,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/spot-the-pol-diplomat-ramallah-01004354
2026-07-19T18:55:40+00:00,politics,Politico,'They're trying not to pay their bills': Sherrill unhappy with FIFA as World Cup wraps up,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/mikie-sherrill-trump-fifa-finals-01004560
2026-07-19T18:35:35+00:00,politics,Politico,Spain or Argentina? Politicians are divided on the World Cup final,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/final-predictions-politicians-01004558
2026-07-19T18:35:16+00:00,politics,BBC Politics,Thames Water lenders preparing legal challenge in event of Burnham nationalisation,https://www.bbc.co.uk/news/articles/cx278ed09nzo?at_medium=RSS&at_campaign=rss
2026-07-19T18:13:57+00:00,politics,Politico,Mamdani’s NYC World Cup jerseys beat the bots,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/mamdani-jerseys-new-york-city-01004552
2026-07-19T17:55:37+00:00,politics,Politico,Troy Jackson has effectively secured the Maine Senate Democratic nomination,https://www.politico.com/news/2026/07/19/troy-jackson-likely-maine-senate-nominee-platner-01004490
2026-07-19T17:48:18+00:00,politics,Politico,Why Spain's right is ready to cheer,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/why-spains-right-ready-to-cheer-politico-poll-pride-win-01004350
2026-07-19T17:15:00+00:00,politics,Politico,Did MAGA ever really fall in love with the world’s game?,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/maga-soccer-fling-pulisic-country-roads-america-first-01004349
2026-07-19T17:14:20+00:00,politics,The Guardian (Politics),Ella Baron on the revolving door of Downing Street – cartoon,https://www.theguardian.com/commentisfree/picture/2026/jul/19/ella-baron-revolving-door-downing-street-cartoon
2026-07-19T16:54:56+00:00,politics,Politico,Ireland's World Cup play,https://www.politico.com/live-updates/2026/07/19/world-cup-2026/ireland-sports-tech-soccer-01004485
2026-07-19T16:00:00+00:00,politics,Politico,"Following Messi's lead, Milei bids to separate stadium and state",https://www.politico.com/live-updates/2026/07/19/world-cup-2026/javier-milei-soccer-politics-argentina-spain-world-cup-final-01004323
2026-07-19T15:56:06+00:00,politics,Politico,Maine Democrat Shenna Bellows drops out of race to replace Graham Platner,https://www.politico.com/news/2026/07/19/shenna-bellows-drops-out-maine-senate-01004452
2026-07-19T14:27:15+00:00,politics,BBC Politics,Is Burnham promising a new dawn for North Sea oil and gas?,https://www.bbc.co.uk/news/articles/c4g3l22ry6wo?at_medium=RSS&at_campaign=rss
2026-07-19T14:23:44+00:00,politics,BBC Politics,"Burnham will be bolder but stick to Labour manifesto, deputy leader says",https://www.bbc.co.uk/news/articles/cx2k76gydreo?at_medium=RSS&at_campaign=rss
2026-07-19T13:06:58+00:00,politics,NPR Politics,Georgia official discusses Trump's claims about election security,https://www.npr.org/2026/07/19/nx-s1-5896326/georgia-official-discusses-trumps-claims-about-election-security
2026-07-19T12:13:24+00:00,politics,NPR Politics,Trump said the election system is broken. What do swing voters make of the claim?,https://www.npr.org/2026/07/19/nx-s1-5898445/trump-said-the-election-system-is-broken-what-do-swing-voters-make-of-the-claim
2026-07-19T10:59:07+00:00,politics,BBC Politics,Chinese firm seeks compensation over British Steel nationalisation,https://www.bbc.co.uk/news/articles/cwyj4ppqn41o?at_medium=RSS&at_campaign=rss
2026-07-19T08:55:06+00:00,politics,BBC Politics,Digital ID plan to be scrapped in Burnham's first major policy pledge,https://www.bbc.co.uk/news/articles/c5y08z25q8eo?at_medium=RSS&at_campaign=rss
2026-07-19T00:08:17+00:00,politics,BBC Politics,Can Burnham's casual style survive contact with No 10?,https://www.bbc.co.uk/news/articles/cvgq2qr9gxdo?at_medium=RSS&at_campaign=rss
2026-07-18T15:01:33+00:00,politics,BBC Politics,"Burnham is 'people pleaser' with 'airy fairy' plans, says Kemi Badenoch",https://www.bbc.co.uk/news/articles/c304l24m0leo?at_medium=RSS&at_campaign=rss
2026-07-18T14:32:48+00:00,politics,BBC Politics,Ruthless plotter? Flip-flopper? Dad dancer? Insiders reveal the real Andy Burnham,https://www.bbc.co.uk/news/articles/c3043vl2l7zo?at_medium=RSS&at_campaign=rss
2026-07-18T05:02:37+00:00,politics,BBC Politics,Lib Dems urge FA and Uefa to withdraw from Fifa,https://www.bbc.co.uk/news/articles/ce3qw4lq1d7o?at_medium=RSS&at_campaign=rss
2026-07-17T21:06:11+00:00,politics,BBC Politics,Clacton by-election attracts 34 candidates,https://www.bbc.co.uk/news/articles/ckge923jk3vo?at_medium=RSS&at_campaign=rss
2026-07-17T16:48:44+00:00,politics,BBC Politics,MP found not guilty of sexually assaulting women,https://www.bbc.co.uk/news/articles/c9323zddvwko?at_medium=RSS&at_campaign=rss
2026-07-17T15:10:40+00:00,politics,The Guardian (Politics),Martin Rowson on Andy Burnham taking over from Keir Starmer – cartoon,https://www.theguardian.com/commentisfree/picture/2026/jul/17/martin-rowson-andy-burnham-keir-starmer-labour-cartoon
2026-07-17T14:48:50+00:00,politics,BBC Politics,First Reform UK police commissioner elected,https://www.bbc.co.uk/news/articles/c934p5vze87o?at_medium=RSS&at_campaign=rss
2026-07-17T13:52:20+00:00,politics,BBC Politics,Burnham promises huge change - but leaves questions about plan to deliver it,https://www.bbc.co.uk/news/articles/cz7djw5dznpo?at_medium=RSS&at_campaign=rss
2026-07-17T05:59:36+00:00,politics,BBC Politics,Five headaches Andy Burnham will have to deal with as PM,https://www.bbc.co.uk/news/articles/c62122pgjqdo?at_medium=RSS&at_campaign=rss
2026-07-17T05:00:08+00:00,politics,BBC Politics,Burnham's 'Manchesterism' got him to No 10 - but will it work for the UK?,https://www.bbc.co.uk/news/articles/clyl3z2xld8o?at_medium=RSS&at_campaign=rss
2026-07-17T05:00:08+00:00,politics,BBC Politics,Burnham's 'Manchesterism' got him to No 10 - but will it work for the UK?,https://www.bbc.co.uk/news/articles/clyl3z2xld8o?at_medium=RSS&at_campaign=rss
2026-07-16T05:00:04+00:00,politics,BBC Politics,Can Andy Burnham solve the housing crisis?,https://www.bbc.co.uk/news/articles/c3wygjz632qo?at_medium=RSS&at_campaign=rss
2026-07-15T17:32:04+00:00,politics,BBC Politics,Burnham does not rule out wealth tax,https://www.bbc.co.uk/news/articles/c89nww3z99po?at_medium=RSS&at_campaign=rss
2026-07-15T12:09:08+00:00,politics,BBC Politics,Cash-strapped Thames Water poses big test for Burnham,https://www.bbc.co.uk/news/articles/c4gygy43103o?at_medium=RSS&at_campaign=rss
2026-07-14T17:15:03+00:00,politics,BBC Politics,Row after Tory bid to make Burnham face MPs before autumn fails,https://www.bbc.co.uk/news/articles/cj6g61y6lpro?at_medium=RSS&at_campaign=rss
2026-07-14T05:10:25+00:00,politics,BBC Politics,Chris Mason: Investigation into Widdecombe's death rekindles debate over how to protect politicians,https://www.bbc.co.uk/news/articles/cvgdgx01y98o?at_medium=RSS&at_campaign=rss
2026-07-12T23:49:28+00:00,politics,BBC Politics,"Burnham set for No 10: BBC correspondents on what Trump, Putin and others will make of him",https://www.bbc.co.uk/news/articles/cn8qzlvlz81o?at_medium=RSS&at_campaign=rss
2026-07-11T02:09:53+00:00,politics,BBC Politics,Ann Widdecombe's 'extraordinary' character,https://www.bbc.co.uk/news/videos/cjeg57jdxnvo?at_medium=RSS&at_campaign=rss
2026-07-09T08:35:18+00:00,politics,BBC Politics,How a rise in ADHD benefits claims is adding to welfare spending challenge,https://www.bbc.co.uk/news/articles/c24ym9yd8p6o?at_medium=RSS&at_campaign=rss
2026-07-07T23:13:38+00:00,politics,BBC Politics,How the leasehold revolution could transform neighbourly relations,https://www.bbc.co.uk/news/articles/cp8llpp67l1o?at_medium=RSS&at_campaign=rss
2026-07-07T08:49:07+00:00,politics,BBC Politics,'Posh George': Who is aristocrat and convicted criminal at heart of Farage controversy?,https://www.bbc.co.uk/news/articles/c5yzzw5vk8vo?at_medium=RSS&at_campaign=rss
2026-07-04T12:19:05+00:00,politics,BBC Politics,The massive scramble behind the scenes before the new PM arrives,https://www.bbc.co.uk/news/articles/cj4g0n0p15xo?at_medium=RSS&at_campaign=rss
2026-07-01T07:34:48+00:00,politics,BBC Politics,Why Starmer's defence plan leaves next PM with £4.7bn headache,https://www.bbc.co.uk/news/articles/c9q250511neo?at_medium=RSS&at_campaign=rss
2026-06-30T20:21:11+00:00,politics,BBC Politics,Will Starmer's plan for defence help UK hit Nato's spending target?,https://www.bbc.co.uk/news/articles/cn07ey43xpeo?at_medium=RSS&at_campaign=rss
2026-06-30T17:43:17+00:00,politics,BBC Politics,Frank Gardner: Key points from government's defence spending plan,https://www.bbc.co.uk/news/articles/cn0vzjn54eeo?at_medium=RSS&at_campaign=rss
2026-06-29T07:43:58+00:00,politics,BBC Politics,The people and places that helped Andy Burnham find self-belief,https://www.bbc.co.uk/news/articles/c2eymr3xrewo?at_medium=RSS&at_campaign=rss
2026-06-24T08:42:42+00:00,politics,BBC Politics,Burnham's people: MPs and advisers in line for a job if he gains power,https://www.bbc.co.uk/news/articles/c8621d1egw1o?at_medium=RSS&at_campaign=rss
